trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-74.55936640278915,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-134.66601547307192,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,12,-136.00153150759195,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-78.46359233738943,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,19,4.83216196319448,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-85.5031523236874,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,6,-48.155207505059394,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-173.38296322386043,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-50.24535082472186,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-86.16394627908852,"{0: 22, 1: 4, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-104.00521398240141,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-33.72316852126045,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-74.69005622638672,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-123.80325558125595,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,4.447022154245595,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-17.839966949930595,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-33.29793544263559,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-51.415369771012415,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-16.372402449431792,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,11,18.779144170184093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",35,0,-101.94254488985167,"{0: 30, 1: 0, 2: 0, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,10.50996823628825,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,-19.64628982886107,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-61.73239348047785,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",30,12,-28.8405989818526,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,13.986068622212606,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",30,4,30.542143314194544,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-77.87053944212137,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,17,-27.34799701570328,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,13,15.884306165246947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
