trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997004495503373}",25,0,-208.48680993193886,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-74.68026542562869,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9910403787728836}",25,0,-123.84251354403577,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-95.11795792183675,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-88.5034673401865,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,3,-74.39075153272736,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9792189645694596}",20,0,-39.476907495217944,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9762857097579093}",25,0,-181.34482926326348,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9733612415243368}",30,0,-200.50363549772987,"{0: 14, 1: 2, 2: 9, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-166.32136132531548,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.967538559589032}",20,0,-125.12040653403379,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9646402934831231}",20,0,-27.378870506775012,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9617507091463667}",20,0,-153.42963762177948,"{0: 8, 1: 3, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9588697805724845}",25,0,-117.56761293737456,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9559974818331}",30,0,-98.26482124370462,"{0: 15, 1: 9, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-61.73893576282239,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.950278670532427}",20,0,-53.78122055215184,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9474321065017983}",25,0,-154.00967900170897,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9445940693665233}",20,0,-124.96745786940971,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-102.87341571132725,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9389434736891332}",35,0,-128.5546247021661,"{0: 20, 1: 8, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9361308642916188}",25,0,-11.333450136169674,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.933326680078202}",20,0,-146.56232203251028,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9305308958112057}",25,0,-275.91950182539546,"{0: 8, 1: 3, 2: 7, 3: 4, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-105.1341371313222,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-153.7924163193254,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.922193691444608}",20,0,-105.09501241237727,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9194312560951247}",30,0,-50.71695294781478,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9166770956331523}",25,0,-94.6359424621667,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-85.53631939791796,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9111935002961405}",25,19,-1.5798408330986489,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9084640160687062}",25,0,-80.8606636855281,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9057427080235485}",20,0,-103.13748841194382,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9030295516688768}",20,0,-43.23021991756196,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-45.72692431764415,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8976275964304349}",20,0,-82.71352268746156,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.894938748929031}",20,0,-87.10748839511214,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8922579558824083}",25,0,-148.15359390865217,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8895851931634113}",20,0,-82.10398097775287,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-91.4829756153469,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.8842636625608209}",35,0,-222.96128439771059,"{0: 19, 1: 7, 2: 4, 3: 2, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.8816148467834161}",20,0,-84.16368162439053,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8789739655455832}",25,0,-193.54139057053237,"{0: 10, 1: 8, 2: 3, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.8763409950793732}",25,0,-24.884302580313637,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8737159116880344}",20,0,-71.13177642654891,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.8710986917457983}",20,15,6.240526975867312,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.8684893116976679}",35,23,-84.27104561810941,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
48,False,"{'a': 0.5, 'e': 0.865887748059205}",25,7,-47.575910964114385,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.8632939774163194}",30,0,-65.63967643227893,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-128.94541859668374,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.8581297218113938}",20,7,-26.091914623432935,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.8555591903710185}",25,0,-210.5457682264663,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
53,False,"{'a': 0.5, 'e': 0.8529963589691315}",25,0,-105.6980767281805,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.850441204540233}",20,0,-172.95232290097513,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.8478937040879159}",25,0,-116.31693115947093,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.8453538346846587}",20,0,-77.67103796362198,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.8428215734716199}",30,0,-91.79743998991951,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.8402968976584314}",25,8,-107.52912449462445,"{0: 7, 1: 5, 2: 3, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.8377797845229938}",20,0,-72.1267889002254,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.835270211411272}",20,6,-44.69996060159839,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.832768155737091}",20,0,-62.916225938932286,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8302735949819326}",25,0,-140.82479958674122,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.8277865066947336}",20,6,-54.80886537675424,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.8253068684916823}",20,0,-155.63910510752373,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8228346580560184}",35,0,-183.2926990161616,"{0: 25, 1: 1, 2: 5, 3: 0, 4: 4}",0
66,False,"{'a': 0.5, 'e': 0.8203698531378311}",25,0,-96.11190567927109,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.8179124315538594}",25,13,-59.576633932246374,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.8154623711872927}",25,0,-118.95301077192147,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.813019649987571}",20,1,-54.881675833790716,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-38.688717709743514,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.8081561372164884}",30,3,-118.23457526913253,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 2}",1
72,False,"{'a': 0.5, 'e': 0.8057353018734796}",20,0,-105.18190651865596,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.8033217181536265}",20,0,-154.09609061757337,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.8009153643346592}",25,0,-13.813497695935682,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,0,-147.0054912074,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.7961242598354538}",20,0,-60.15204107655037,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.7937394660352427}",25,0,-120.25405794545328,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.7913618158955839}",30,0,-90.32945250657681,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.7889912880176096}",25,0,-73.1796518165759,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-168.94800099873544,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
