trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-185.79631534571723,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.2, 'e': 1.0}",20,0,-166.748649962233,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.2, 'e': 1.0}",30,0,-149.9438065961192,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
4,False,"{'a': 0.2, 'e': 1.0}",30,0,-181.24451115290788,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 1.0}",20,0,-75.83348035270286,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
6,False,"{'a': 0.2, 'e': 1.0}",25,0,-71.30855573607448,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.2, 'e': 1.0}",20,0,-82.28213974308252,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.2, 'e': 1.0}",20,0,-88.53081569058901,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.2, 'e': 1.0}",35,0,-170.84721526616426,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.2, 'e': 1.0}",20,0,-102.19982905061975,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 1.0}",20,0,-102.64689918743694,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 1.0}",20,0,-175.06843394775333,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.2, 'e': 1.0}",20,0,-79.75056248415426,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 1.0}",30,0,-197.79385200918165,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.2, 'e': 1.0}",25,0,-178.20023647082385,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.2, 'e': 1.0}",20,6,15.412012447126425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 1.0}",25,1,-85.9389352509455,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 1}",1
18,False,"{'a': 0.2, 'e': 1.0}",20,0,-46.61352675694812,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 1.0}",25,0,-110.95627925243795,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 1.0}",25,0,-108.24280740414869,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
1,True,"{'a': 0.2, 'e': 1.0}",30,0,-145.20121838170107,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.2, 'e': 1.0}",30,0,-179.05237276573567,"{0: 17, 1: 6, 2: 2, 3: 3, 4: 2}",0
3,True,"{'a': 0.2, 'e': 1.0}",25,0,-102.6896148930542,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
4,True,"{'a': 0.2, 'e': 1.0}",25,0,-107.31594123859207,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.2, 'e': 1.0}",30,0,-362.3308638696822,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 7}",0
6,True,"{'a': 0.2, 'e': 1.0}",20,0,-108.21457879201408,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0.2, 'e': 1.0}",20,12,3.4526136539012207,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.2, 'e': 1.0}",25,0,-120.80195267593645,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
9,True,"{'a': 0.2, 'e': 1.0}",30,0,-229.3549695992808,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
10,True,"{'a': 0.2, 'e': 1.0}",25,0,-135.34989498597398,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
